,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
49,49,delinq_2yrs:0,-0.041740408564023904,0.49100768001816286,delinq_2yrs,-3.2106952109683755,-3.0,0.2106952109683755,-3.0
50,50,delinq_2yrs:1-3,-0.08326084909171051,0.14658664573976238,delinq_2yrs,-6.404470359456985,-6.0,0.40447035945698495,-6.0
51,51,delinq_2yrs:>=4,-0.09889754054895972,0.6483601232469605,delinq_2yrs,-7.607253276643175,-8.0,-0.3927467233568249,-8.0
52,52,inq_last_6mths:0,0.2881710138419201,0.020371544798904625,inq_last_6mths,22.166273065175755,22.0,-0.1662730651757549,22.0
53,53,inq_last_6mths:1-2,0.14189229741826656,0.2527785765931968,inq_last_6mths,10.914433649956834,11.0,0.08556635004316604,11.0
54,54,inq_last_6mths:3-6,-0.07289712459495931,0.5582758816682205,inq_last_6mths,-5.6072869644148415,-6.0,-0.39271303558515847,-6.0
55,55,open_acc:0,-0.04277325424739034,,open_acc,-3.2901422696661236,-3.0,0.29014226966612355,-3.0
56,56,open_acc:1-3,0.0966501524143325,,open_acc,7.434382943810498,7.0,-0.4343829438104976,7.0
57,57,open_acc:4-12,0.0180576767189217,,open_acc,1.389006436621899,1.0,-0.38900643662189904,1.0
58,58,open_acc:13-17,-0.011570674273263993,,open_acc,-0.8900226364545754,-1.0,-0.10997736354542464,-1.0
59,59,open_acc:18-22,-0.025250639880784943,,open_acc,-1.9422931238147827,-2.0,-0.057706876185217304,-2.0
60,60,open_acc:23-25,-0.04611310056255561,,open_acc,-3.5470450873044217,-4.0,-0.4529549126955783,-4.0
61,61,open_acc:26-30,-0.00015439434908431167,,open_acc,-0.011876098348324142,-0.0,0.011876098348324142,-0.0
62,62,open_acc:>=31,-0.06556168149801367,,open_acc,-5.043040642159295,-5.0,0.04304064215929504,-5.0
63,63,pub_rec:0,-0.32014031136473786,0.539964635215466,pub_rec,-24.625369034423233,-25.0,-0.3746309655767668,-25.0
64,64,pub_rec:1-2,-0.06947972059659797,0.2118399345467603,pub_rec,-5.34441836707821,-5.0,0.3444183670782097,-5.0
65,65,pub_rec:3-4,0.12679515051107357,0.18533553323797947,pub_rec,9.753152796659462,10.0,0.246847203340538,10.0
66,66,pub_rec:>=5,0.05841862619697063,0.7528828150065472,pub_rec,4.4935928951023065,4.0,-0.49359289510230653,4.0
67,67,total_acc:<=27,-0.025543284729267486,,total_acc,-1.964803526704018,-2.0,-0.03519647329598197,-2.0
68,68,total_acc:28-51,-0.04426720285774316,,total_acc,-3.4050576194125286,-3.0,0.4050576194125286,-3.0
69,69,total_acc:>=52,-0.00690542809082159,,total_acc,-0.5311693311980844,-1.0,-0.4688306688019156,-1.0
70,70,acc_now_delinq:>=1,0.13388074473854505,0.2060614435423802,acc_now_delinq,10.298180606296569,10.0,-0.29818060629656884,10.0
71,71,total_rev_hi_lim:<=5K,-0.1057740283481277,,total_rev_hi_lim,-8.136196504671386,-8.0,0.13619650467138555,-8.0
72,72,total_rev_hi_lim:5K-10K,-0.050547375452793204,,total_rev_hi_lim,-3.8881319535809094,-4.0,-0.11186804641909065,-4.0
73,73,total_rev_hi_lim:10K-20K,-0.06983789159810207,,total_rev_hi_lim,-5.371969077739631,-5.0,0.3719690777396307,-5.0
74,74,total_rev_hi_lim:20K-30K,-0.0618502068189356,,total_rev_hi_lim,-4.757551966132843,-5.0,-0.24244803386715663,-5.0
75,75,total_rev_hi_lim:30K-40K,-0.034177292227592665,,total_rev_hi_lim,-2.6289361377640494,-3.0,-0.37106386223595056,-3.0
76,76,total_rev_hi_lim:40K-55K,-0.00988418908659916,,total_rev_hi_lim,-0.7602972672385946,-1.0,-0.2397027327614054,-1.0
77,77,total_rev_hi_lim:55K-95K,0.02954549717881547,,total_rev_hi_lim,2.272655912128847,2.0,-0.272655912128847,16.0
78,78,total_rev_hi_lim:>95K,0.22580957067510074,,total_rev_hi_lim,17.369396517653016,17.0,-0.3693965176530156,17.0
79,79,annual_inc:20K-30K,-0.20388484963051648,4.614012251347237e-06,annual_inc,-15.682934902125455,-16.0,-0.3170650978745453,-16.0
80,80,annual_inc:30K-40K,-0.14539829654618966,0.0007302344822890673,annual_inc,-11.184117033443984,-11.0,0.1841170334439841,-11.0
81,81,annual_inc:40K-50K,-0.05105364613422931,0.23598373264863626,annual_inc,-3.92707457317332,-4.0,-0.0729254268266799,-4.0
82,82,annual_inc:50K-60K,0.013171378646222287,0.7627664882711576,annual_inc,1.013149698245316,1.0,-0.013149698245316088,1.0
83,83,annual_inc:60K-70K,0.08834091459142175,0.04766515460538722,annual_inc,6.795231795016736,7.0,0.20476820498326376,7.0
84,84,annual_inc:70K-80K,0.16062020550753098,0.000414222398567975,annual_inc,12.354994652646273,12.0,-0.3549946526462726,12.0
85,85,annual_inc:80K-90K,0.22845803623624183,1.311705454730965e-06,annual_inc,17.573117946985157,18.0,0.42688205301484317,18.0
86,86,annual_inc:90K-100K,0.24814507027769225,3.6526466143811027e-07,annual_inc,19.087455446056406,19.0,-0.08745544605640632,19.0
87,87,annual_inc:100K-120K,0.32136898235176736,3.427923402556973e-11,annual_inc,24.719879083309326,25.0,0.28012091669067374,25.0
88,88,annual_inc:120K-140K,0.3841132110785914,1.5607913025980453e-12,annual_inc,29.54619970688728,30.0,0.45380029311272096,30.0
89,89,annual_inc:>140K,0.31937753155857945,3.1818933285280927e-10,annual_inc,24.566695591711245,25.0,0.4333044082887554,25.0
90,90,dti:<=1.4,0.007159598339081018,0.9354413636993181,dti,0.5507202466522411,1.0,0.44927975334775894,1.0
91,91,dti:1.4-3.5,0.12420987774881587,0.09657108366168445,dti,9.554292192214348,10.0,0.4457078077856522,10.0
92,92,dti:3.5-7.7,0.15899028762170778,0.014836344648303223,dti,12.229620471359636,12.0,-0.22962047135963637,12.0
93,93,dti:7.7-10.5,0.10275186652751861,0.11228352766398039,dti,7.903730153286308,8.0,0.09626984671369243,8.0
94,94,dti:10.5-16.1,0.018987598634270804,0.761963716243869,dti,1.4605365424091068,1.0,-0.4605365424091068,1.0
95,95,dti:16.1-20.3,-0.0784571491110828,0.210572267618361,dti,-6.034967111804934,-6.0,0.03496711180493417,-6.0
96,96,dti:20.3-21.7,-0.08478760153109477,0.1929547758515857,dti,-6.521908997795812,-7.0,-0.478091002204188,-7.0
97,97,dti:21.7-22.4,-0.12051817319662478,0.08047325947097582,dti,-9.2703242452344,-9.0,0.27032424523440035,-9.0
98,98,dti:22.4-35,-0.1544167686536062,0.012707032947543674,dti,-11.877822873939541,-12.0,-0.12217712606045872,-12.0
99,99,mths_since_last_delinq:Missing,0.030928323570648786,0.5955666149323429,mths_since_last_delinq,2.3790236796376347,2.0,-0.3790236796376347,2.0
100,100,mths_since_last_delinq:4-30,0.11011569907665719,0.04110886481781499,mths_since_last_delinq,8.470160207837097,8.0,-0.4701602078370968,8.0
101,101,mths_since_last_delinq:31-56,0.1248622228827463,0.035287554835789,mths_since_last_delinq,9.604470939128058,10.0,0.39552906087194195,10.0
102,102,mths_since_last_delinq:>=57,0.07556849570801139,0.21122143615949573,mths_since_last_delinq,5.812770301412842,6.0,0.1872296985871582,6.0
103,103,mths_since_last_record:Missing,0.33346753876529234,0.00018997561430713806,mths_since_last_record,25.650506704669404,26.0,0.34949329533059625,26.0
104,104,mths_since_last_record:3-20,0.15167809166162047,0.7716531799093387,mths_since_last_record,11.667162331672195,12.0,0.33283766832780515,12.0
105,105,mths_since_last_record:21-31,0.08709787860524887,0.867072095415377,mths_since_last_record,6.699616782486493,7.0,0.30038321751350683,7.0
106,106,mths_since_last_record:32-80,0.22072334541982486,0.6682358227158949,mths_since_last_record,16.97816127030338,17.0,0.021838729696618486,17.0
107,107,mths_since_last_record:81-86,-0.12313546663935218,0.8121847538296657,mths_since_last_record,-9.47164789805333,-9.0,0.4716478980533303,-9.0
108,108,mths_since_last_record:>86,-0.08822604173052832,0.8639950946676864,mths_since_last_record,-6.786395711302438,-7.0,-0.21360428869756198,-7.0
109,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
110,1,home_ownership:OTHER_RENT_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
111,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
112,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
113,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
114,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
115,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
116,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
117,8,issue_d_month:>173,0.0,,issue_d_month,0.0,0.0,0.0,0.0
118,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
119,10,months_since_earliest_date:<149,0.0,,months_since_earliest_date,0.0,0.0,0.0,0.0
120,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
121,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
122,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
123,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
124,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
125,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
